n,z,firstExcitedStateEnergy(keV)
3,1,310
4,1,3100
5,1,4100
6,1,15000
2,2,20210
4,2,1797
5,2,2920
7,2,1100
8,2,3240
1,3,320
3,3,2186
4,3,477.612
5,3,980.8
6,3,2691
7,3,210
8,3,1266
9,3,130
2,4,1670
3,4,429.08
4,4,3030
5,4,1684
6,4,3368.03
7,4,320.04
8,4,2109
3,5,769.5
4,5,1500
5,5,718.38
6,5,2124.693
7,5,953.14
8,5,3482.8
9,5,740
11,5,2320
15,5,940
3,6,2218
4,6,3353.7
5,6,2000
6,6,4439.82
7,6,3089.443
8,6,6093.8
9,6,740
10,6,1766
11,6,217
12,6,1588
13,6,209
14,6,1618
3,7,900
4,7,730
5,7,961
6,7,2364.9
7,7,2312.798
8,7,5270.155
9,7,120.42
10,7,1373.9
11,7,114.71
12,7,1143
13,7,843
14,7,1160
15,7,183
16,7,3600
3,8,490
4,8,1620
5,8,2750
6,8,5173
7,8,5183
8,8,6049.4
9,8,870.756
10,8,1982.07
11,8,96
12,8,1673.68
13,8,1220
14,8,3199
15,8,2780
16,8,4790
18,8,1277
5,9,540
6,9,1520
7,9,193
8,9,495.33
9,9,937.2
10,9,109.894
11,9,656.02
12,9,279.93
13,9,71.65
14,9,2246
15,9,521.5
16,9,3300
17,9,643.4
18,9,777
19,9,590
5,10,1900
6,10,1770
7,10,1288
8,10,1887.3
9,10,238.27
10,10,1633.674
11,10,350.727
12,10,1274.537
13,10,1016.926
14,10,1981.6
15,10,1702.8
16,10,2018
17,10,765
19,10,232
20,10,792
22,10,722
7,11,300
8,11,120
9,11,596
10,11,331.9
11,11,583.05
12,11,440.2
13,11,472.2074
14,11,89.53
15,11,82.2
16,11,62.9
17,11,55.2
18,11,72
19,11,150.62
20,11,375
21,11,569
22,11,429
24,11,373
7,12,1380
8,12,1598
9,12,201
10,12,1247.02
11,12,450.7
12,12,1368.672
13,12,585.045
14,12,1808.74
15,12,984.88
16,12,1473.54
17,12,54.6
18,12,1482.8
19,12,50.1
20,12,885.3
21,12,484.1
22,12,660
24,12,662
26,12,656
28,12,500
9,13,1850
10,13,550
11,13,425.8
12,13,451.7
13,13,228.305
14,13,843.76
15,13,30.6382
16,13,1398.05
17,13,243.9
18,13,946.7
19,13,734.7
20,13,747.5
21,13,657
22,13,802
26,13,800
10,14,1879
11,14,40
12,14,1797.3
13,14,780.9
14,14,1779.03
15,14,1273.387
16,14,2235.322
17,14,752.23
18,14,1941.4
19,14,1010.2
20,14,3327.14
21,14,909.95
22,14,1408
23,14,68.2
24,14,1074
26,14,986
27,14,672
28,14,742
11,15,164.4
12,15,1120
13,15,105.64
14,15,1383.55
15,15,677.01
16,15,1266.13
17,15,78.06
18,15,1431.7
19,15,429.09
20,15,2386.6
21,15,249.9
22,15,861
23,15,380
24,15,355
26,15,172
28,15,184
12,16,1507
13,16,1222
14,16,2210.6
15,16,1248.87
16,16,2230.57
17,16,840.982
18,16,2127.564
19,16,1572.378
20,16,3290.9
21,16,646.177
22,16,1292.02
23,16,58.73
24,16,903.69
25,16,449
26,16,903
27,16,320.7
28,16,1329
30,16,952
12,17,500
14,17,750
15,17,89.9
16,17,810.55
17,17,146.36
18,17,1219.29
19,17,788.4328
20,17,1726.58
21,17,671.365
22,17,396.42
23,17,211.62
24,17,129.7
25,17,118.19
26,17,328
27,17,475
28,17,127
29,17,118
12,18,700
14,18,1867
15,18,1359
16,18,2091.1
17,18,1184.03
18,18,1970.38
19,18,1409.84
20,18,2167.472
21,18,1267.207
22,18,1460.849
23,18,167.11
24,18,1208.22
26,18,750
27,18,542.1
28,18,1577
29,18,1130
30,18,1039
32,18,1178
34,18,1656
16,19,1553
17,19,810
18,19,1370.85
19,19,130.22
20,19,2522.75
21,19,29.8299
22,19,980.476
23,19,106.826
24,19,561.2
25,19,182.71
26,19,474.45
27,19,587.4
28,19,360
29,19,142.7
30,19,91.7
31,19,44
16,20,3045
17,20,1606.4
18,20,2213.2
19,20,2466.9
20,20,3352.62
21,20,1942.88
22,20,1524.71
23,20,372.762
24,20,1157.019
25,20,174.25
26,20,1346
27,20,2013.53
28,20,3831.96
29,20,2023.2
30,20,1026.72
31,20,1240
32,20,2563
33,20,1746
34,20,2043
18,21,950
19,21,34.3
20,21,1716.48
21,21,611.051
22,21,151.79
23,21,67.8679
24,21,12.4
25,21,52.011
26,21,766.83
27,21,130.93
28,21,2228.63
29,21,256.895
30,21,861.62
32,21,2109
33,21,110
19,22,1623
20,22,1554.6
21,22,313
22,22,1083.06
23,22,36.53
24,22,889.286
25,22,159.371
26,22,983.531
27,22,1381.773
28,22,1553.794
29,22,1166.7
30,22,1050.06
