AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
1,1,1H,7288.971064,1E-05,,0,1.0,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0
2,1,2H,13135.722895,1E-05,,1,1.0,1.0,,,2.0,1.5874010519681994,0.0,0.0,1.0,1.0
3,1,3H,14949.8109,8E-05,,2,1.0,0.0,,,1.0,2.080083823051904,0.0,0.3333333333333333,1.0,0.0
7,1,7H, 49140.0,1000.0,15.0,6,1.0,2.0,,,3.0,3.6593057100229713,0.0,3.5714285714285716,1.0,0.0
4,1,4H,24620,100,0.31,3,1.0,1.0,,,2.0,2.5198420997897464,0.0,1.0,1.0,1.0
5,1,5H,32890,90,3.1,4,1.0,2.0,,,3.0,2.924017738212866,0.0,1.8,1.0,0.0
6,1,6H,41880,250,4.1,5,1.0,3.0,,,4.0,3.3019272488946263,0.0,2.6666666666666665,1.0,1.0
7,2,7He,26073,8,2.92,5,0.0,3.0,,,3.0,3.6593057100229713,1.0455159171494206,1.2857142857142858,0.0,1.0
9,2,9He,40940,50,1.1,7,0.0,1.0,,,1.0,4.3267487109222245,0.9614997135382722,2.7777777777777777,0.0,1.0
10,2,10He,49200,90,3.24,8,0.0,0.0,,,0.0,4.641588833612778,0.9283177667225557,3.6,0.0,0.0
6,2,6He,17592.1,0.05,1.797,4,0.0,2.0,,,2.0,3.3019272488946263,1.100642416298209,0.6666666666666666,0.0,0.0
8,2,8He,31609.68,0.09,,6,0.0,2.0,,,2.0,3.9999999999999996,1.0,2.0,0.0,0.0
5,2,5He,11231,20,,3,0.0,1.0,,,1.0,2.924017738212866,1.1696070952851465,0.2,0.0,1.0
4,2,4He,2424.91587,0.00015,20.21,2,0.0,0.0,,,0.0,2.5198420997897464,1.2599210498948732,0.0,0.0,0.0
3,2,3He,14931.21888,6E-05,,1,0.0,1.0,,,1.0,2.080083823051904,1.3867225487012695,0.3333333333333333,0.0,1.0
11,3,11Li,40728.3,0.6,1.266,8,1.0,0.0,,,1.0,4.9460874432487,2.6978658781356555,2.272727272727273,1.0,0.0
10,3,10Li,33250,40,0.21,7,1.0,1.0,,,2.0,4.641588833612778,2.7849533001676674,1.6,1.0,1.0
12,3,12Li,49010,30,0.13,9,1.0,1.0,,,2.0,5.241482788417793,2.6207413942088964,3.0,1.0,1.0
9,3,9Li,24954.91,0.19,2.691,6,1.0,2.0,,,3.0,4.3267487109222245,2.8844991406148166,1.0,1.0,0.0
13,3,13Li,56980,70,,10,1.0,2.0,,,3.0,5.528774813678871,2.5517422216979413,3.769230769230769,1.0,0.0
8,3,8Li,31768,5,0.9808,5,1.0,3.0,,,4.0,3.9999999999999996,3.0,0.5,1.0,1.0
8,3,8Li,20945.8,0.05,,5,1.0,3.0,,,4.0,3.9999999999999996,3.0,0.5,1.0,1.0
10,3,10Li,33530,40,,7,1.0,1.0,,,2.0,4.641588833612778,2.7849533001676674,1.6,1.0,1.0
10,3,10Li,33053,13,,7,1.0,1.0,,,2.0,4.641588833612778,2.7849533001676674,1.6,1.0,1.0
5,3,5Li,11680,50,,2,1.0,0.0,,,1.0,2.924017738212866,3.5088212858554395,0.2,1.0,0.0
6,3,6Li,14086.8804,0.0014,2.186,3,1.0,1.0,,,2.0,3.3019272488946263,3.3019272488946267,0.0,1.0,1.0
3,3,3Li, 28670.0,2000.0,,0,1.0,0.0,,,1.0,2.080083823051904,4.160167646103808,3.0,1.0,0.0
4,3,4Li,25320,210,0.32,1,1.0,1.0,,,2.0,2.5198420997897464,3.77976314968462,1.0,1.0,1.0
