AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
7,1,7H,,49140.0,1000.0,15000.0,6,1.0,2.0,3.0
4,1,4H,,24620.0,100.0,310.0,3,1.0,1.0,2.0
5,1,5H,,32890.0,90.0,3100.0,4,1.0,2.0,3.0
6,1,6H,,41880.0,250.0,4100.0,5,1.0,3.0,4.0
7,2,7He,,26073.0,8.0,2920.0,5,0.0,3.0,3.0
9,2,9He,,40940.0,50.0,1100.0,7,0.0,1.0,1.0
10,2,10He,,49200.0,90.0,3240.0,8,0.0,0.0,0.0
6,2,6He,,17592.1,0.05,1797.0,4,0.0,2.0,2.0
4,2,4He,,2424.91587,0.00015,20210.0,2,0.0,0.0,0.0
11,3,11Li,,40728.3,0.6,1266.0,8,1.0,0.0,1.0
10,3,10Li,m,33250.0,40.0,210.0,7,1.0,1.0,2.0
12,3,12Li,,49010.0,30.0,130.0,9,1.0,1.0,2.0
9,3,9Li,,24954.91,0.19,2691.0,6,1.0,2.0,3.0
8,3,8Li,i,31768.0,5.0,980.8,5,1.0,3.0,4.0
6,3,6Li,,14086.8804,0.0014,2186.0,3,1.0,1.0,2.0
4,3,4Li,,25320.0,210.0,320.0,1,1.0,1.0,2.0
7,3,7Li,,14907.105,0.004,477.612,4,1.0,2.0,3.0
7,4,7Be,i,26750.0,30.0,429.08,3,2.0,1.0,3.0
11,4,11Be,i,41336.0,20.0,320.04,7,2.0,1.0,3.0
10,4,10Be,i,33787.0,21.0,3368.03,6,2.0,2.0,4.0
12,4,12Be,,25077.8,1.9,2109.0,8,2.0,0.0,2.0
9,4,9Be,i,25738.8,1.7,1684.0,5,2.0,3.0,5.0
6,4,6Be,,18375.0,5.0,1670.0,2,2.0,0.0,2.0
8,4,8Be,,4941.67,0.04,3030.0,4,2.0,2.0,4.0
12,5,12B,,13369.4,1.3,953.14,7,3.0,1.0,4.0
14,5,14B,i,40728.0,20.0,740.0,9,3.0,1.0,4.0
16,5,16B,,37112.0,25.0,2320.0,11,3.0,3.0,6.0
13,5,13B,,16561.9,1.0,3482.8,8,3.0,0.0,3.0
8,5,8B,,22921.6,1.0,769.5,3,3.0,1.0,4.0
