AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
1,1,1H,,7288.971064,1E-05,,0,1.0,0.0
2,1,2H,,13135.722895,1E-05,,1,1.0,1.0
3,1,3H,,14949.8109,8E-05,,2,1.0,0.0
7,1,7H,, 49140.0,1000.0,15000.0,6,1.0,2.0
4,1,4H,,24620,100,310.0,3,1.0,1.0
5,1,5H,,32890,90,3100.0,4,1.0,2.0
6,1,6H,,41880,250,4100.0,5,1.0,3.0
7,2,7He,,26073,8,2920.0,5,0.0,3.0
9,2,9He,,40940,50,1100.0,7,0.0,1.0
10,2,10He,,49200,90,3240.0,8,0.0,0.0
6,2,6He,,17592.1,0.05,1797.0,4,0.0,2.0
8,2,8He,,31609.68,0.09,,6,0.0,2.0
5,2,5He,,11231,20,,3,0.0,1.0
4,2,4He,,2424.91587,0.00015,20210.0,2,0.0,0.0
3,2,3He,,14931.21888,6E-05,,1,0.0,1.0
11,3,11Li,,40728.3,0.6,1266.0,8,1.0,0.0
10,3,10Li,m,33250,40,210.0,7,1.0,1.0
12,3,12Li,,49010,30,130.0,9,1.0,1.0
9,3,9Li,,24954.91,0.19,2691.0,6,1.0,2.0
13,3,13Li,,56980,70,,10,1.0,2.0
8,3,8Li,i,31768,5,980.8,5,1.0,3.0
8,3,8Li,,20945.8,0.05,,5,1.0,3.0
10,3,10Li,n,33530,40,,7,1.0,1.0
10,3,10Li,,33053,13,,7,1.0,1.0
5,3,5Li,,11680,50,,2,1.0,0.0
6,3,6Li,,14086.8804,0.0014,2186.0,3,1.0,1.0
3,3,3Li,, 28670.0,2000.0,,0,1.0,0.0
4,3,4Li,,25320,210,320.0,1,1.0,1.0
6,3,6Li,i,17649.76,0.1,,3,1.0,1.0
7,3,7Li,,14907.105,0.004,477.61199999999997,4,1.0,2.0
7,3,7Li,i,26150,30,,4,1.0,2.0
7,4,7Be,i,26750,30,429.08,3,2.0,1.0
11,4,11Be,i,41336,20,320.04,7,2.0,1.0
11,4,11Be,,20177.17,0.24,,7,2.0,1.0
16,4,16Be,,57450,170,,12,2.0,4.0
10,4,10Be,i,33787,21,3368.03,6,2.0,2.0
10,4,10Be,,12607.49,0.08,,6,2.0,2.0
5,4,5Be,, 37140.0,2000.0,,1,2.0,1.0
12,4,12Be,,25077.8,1.9,2109.0,8,2.0,0.0
12,4,12Be,m,27328.8,2.1,,8,2.0,0.0
14,4,14Be,p,41470,60,,10,2.0,2.0
14,4,14Be,,39950,130,,10,2.0,2.0
13,4,13Be,p,35160,50,,9,2.0,1.0
7,4,7Be,,15769,0.07,,3,2.0,1.0
9,4,9Be,i,25738.8,1.7,1684.0,5,2.0,3.0
9,4,9Be,,11348.45,0.08,,5,2.0,3.0
6,4,6Be,,18375,5,1670.0,2,2.0,0.0
8,4,8Be,,4941.67,0.04,3030.0,4,2.0,2.0
15,4,15Be,,49830,170,,11,2.0,3.0
13,4,13Be,,33659,10,,9,2.0,1.0
8,4,8Be,i,21568,3,,4,2.0,2.0
8,4,8Be,j,32436,2,,4,2.0,2.0
12,5,12B,,13369.4,1.3,953.14,7,3.0,1.0
12,5,12B,i,26088,19,,7,3.0,1.0
14,5,14B,i,40728,20,740.0,9,3.0,1.0
17,5,17B,,43720,200,,12,3.0,4.0
16,5,16B,,37112,25,2320.0,11,3.0,3.0
15,5,15B,,28957,21,,10,3.0,2.0
13,5,13B,,16561.9,1,3482.8,8,3.0,0.0
14,5,14B,,23664,21,,9,3.0,1.0
18,5,18B,,51790,200,,13,3.0,5.0
7,5,7B,,27677,25,,2,3.0,0.0
19,5,19B,,59770,530,,14,3.0,6.0
8,5,8B,,22921.6,1,769.5,3,3.0,1.0
8,5,8B,i,33546,8,,3,3.0,1.0
6,5,6B,, 47320.0,2000.0,,1,3.0,1.0
9,5,9B,,12416.5,0.9,1500.0,4,3.0,2.0
9,5,9B,i,27071,2.3,,4,3.0,2.0
10,5,10B,i,13790.66,0.04,718.38,5,3.0,3.0
21,5,21B,,78380,560,,16,3.0,4.0
10,5,10B,,12050.611,0.015,,5,3.0,3.0
11,5,11B,i,21228,9,2124.6929999999998,6,3.0,2.0
11,5,11B,j,42230,80,,6,3.0,2.0
20,5,20B,,69400,550,940.0,15,3.0,5.0
11,5,11B,,8667.708,0.012,,6,3.0,2.0
20,6,20C,,37500,230,1618.0,14,2.0,6.0
15,6,15C,,9873.1,0.8,740.0,9,2.0,1.0
18,6,18C,,24920,30,1588.0,12,2.0,4.0
21,6,21C,, 45640.0, 600.0,,15,2.0,5.0
17,6,17C,,21032,17,217.0,11,2.0,3.0
22,6,22C,,53610,230,,16,2.0,4.0
14,6,14C,i,25120,100,6093.8,8,2.0,0.0
14,6,14C,,3019.893,0.004,,8,2.0,0.0
19,6,19C,,32410,100,209.0,13,2.0,5.0
16,6,16C,,13694,4,1766.0,10,2.0,2.0
23,6,23C,, 64170.0,1000.0,,17,2.0,3.0
12,6,12C,j,27595,2.4,4439.82,6,2.0,2.0
11,6,11C,i,22810,40,2000.0,5,2.0,3.0
8,6,8C,,35064,18,,2,2.0,0.0
11,6,11C,,10649.4,0.06,,5,2.0,3.0
9,6,9C,,28911,2.1,2218.0,3,2.0,1.0
