1,0,1n,,,,,,,8071.3181,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.8,,,,s,0.6,,,,1/2+*,,,,,,,,,6,,,,,,,,,,1932,B-=100,,,,,,,,,,,,,,,,,,,,,,,,
1,10,1H,,,,,,,7288.971064,,,1.3E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1/2+*,,,,,,,,,6,,,,,,,,,,1920,IS=99.9855,78,,,,,,,,,,,,,,,,,,,,,,
2,10,2H,,,,,,13135.722895,,,1.5E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1+*,,,,,,,,,,,3,,,,,,,,,,1932,IS=0.0145,78,,,,,,,,,,,,,,,,,,,,,
3,10,3H,,,,,,14949.8109,,,,8E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32,,,y,0.02,,,1/2+*,,,,,,,,,0,,,,,,,,,,1934,B-=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,3He,,,,,14931.21888,,,,6E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1/2+*,,,,,,,,,98,,,,,,,,,,1934,IS=0.0002,2,,,,,,,,,,,,,,,,,,,,,,
3,30,3Li,,,,,28670#,,,,,,2000#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p-unst,,,,,,,,,,,,3/2-#,,,,,,,,,98,,,,,,,,,,,,,,,p,?,,,,,,,,,,,,,
4,10,4H,,,,,,24620,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,ys,10,,,,,2-,,,,,,,,,,,,98,,,,,,,,,,1981,n=100,,,,,,,,,,,,
4,20,4He,,,,,,2424.91587,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,0+,,,,,,,,,,,,98,,,,,,,,,,1908,IS=99.9998,2,,,,,,,,,,,,,,,,,,
4,30,4Li,,,,,25320,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,ys,9,,,,,,2-,,,,,,,,,,,,98,,,,,,,,,,1965,p=100,,,,,,,,,,,
5,10,5H,,,,,,32890,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,ys,6,,,,,,(1/2+),,,,,,,,19,,,,,,,,,,1987,2n=100,,,,,,,,,,,,,
5,20,5He,,,,,11231,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,,,ys,22,,,,,3/2-,,,,,,,,,,2,,,,,,,,,,1937,n=100,,,,,,,,,,,,,,
5,30,5Li,,,,,11680,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,ys,30,,,,,3/2-,,,,,,,,,,2,,,,,,,,,,1941,p=100,,,,,,,,,,,,,,
5,40,5Be,,,,,37140#,,,,,,2000#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p-unst,,,,,,,,,,,,1/2+#,,,,,,,,,18,,,,,,,,,,,,,,,p,?,,,,,,,,,,,,,
6,10,6H,,,,,,41880,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,ys,67,,,,,2-#,,,,,,,,,,,19,,,,,,,,,,1984,n,?;3n,?,,,,,,,,,,,
6,20,6He,,,,,17592.1,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.92,,ms,0.24,,,0+,,,,,,,,,,,,2,,,,,,,,,,1936,B-=100;B-d=0.000278,18,,,,,,,,,,,,,,,,,,,,,
6,30,6Li,,,,,14086.8804,,,,,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,1+*,,,,,,,,,,,2,,,,,,,,,,1921,IS=4.85,171,,,,,,,,,,,,,,,,,,
6,38,6Li,,i,,17649.76,,,,,,,0.1,,,,,3562.88,,,,,,,0.1,,,,,,,,,,56,,,,,as,14,,,,,0+,,,,,,T=1,,,2,,,,,,,,,,1981,IT=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40,6Be,,,,,18375,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,zs,0.3,,,,0+,,,,,,,,,,,,2,,,,,,,,,,1958,2p=100,,,,,,,,,,,,
6,50,6B,,,,,,47320#,,,,,,2000#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p-unst,,,,,,,,,,,,2-#,,,,,,,,,,,,,,,,,,,,,,,,,,,,2p,?,,,,,,,,
7,10,7H,,,,,,49140#,,,,,,1000#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,,,,,ys,558,,,,1/2+#,,,,,,,,,17,,,,,,,,,,2003,2n,?,,,,,,,,,,,,,,,,,,
7,20,7He,,,,,26073,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,zs,0.07,,,(3/2)-,,,,,,,,3,,,,,,,,,,1967,n=100,,,,,,,,,,,,,,,,,,
7,30,7Li,,,,,14907.105,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,3/2-*,,,,,,,,,3,,,,,,,,,,1921,IS=95.15,171,,,,,,,,,,,,,,,,,,
7,38,7Li,,i,,26150,,,,,,,,,30,,,,,,,11250,,,,,,,,,30,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=3/2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,7Be,,,,,15769,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.22,,,d,0.06,,,3/2-,,,,,,,,,,3,,,,,,,,,,1938,EC=100,,,,,,,,,,,,,,,,,,,,,,
7,48,7Be,,i,,26750,,,,,,,,,30,,,,,,,10980,,,,,,,,,30,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=3/2,3,,,,,,,,,,,,,,,p,?;3He,?;A,?,,,,,,,,,,,,,,,
7,50,7B,,,,,,27677,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,,ys,14,,,,,(3/2-),,,,,,,,14,,,,,,,,,,1967,p=100,,,,,,,,,,,,,,,
8,20,8He,,,,,31609.68,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5,,,ms,1.5,,,,0+,,,,,,,,,,,,5,,,,,,,,,,1965,B-=100;B-n=16,1;B-t=0.9,1,,,,,,,,,,,,,,,,,,
8,30,8Li,,,,,20945.8,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.7,,,ms,0.3,,,,2+,,,,,,,,,,,,5,,,,,,,,,,1935,B-=100;B-A=100,,,,,,,,,,,,,,,,,,,,
8,38,8Li,,i,,31768,,,,,,,,,,5,,,,,,,10822,,,,,,,,,,5,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,40,8Be,,,,,,4941.67,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9,,,as,3.7,,,,0+,,,,,,,,,,,,5,,,,,,,,,,1932,A=100,,,,,,,,,,,,,,,,,,
8,48,8Be,,i,,21568,,,,,,,,,,3,,,,,,,16626,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2+,,frg,T=1,,,,,,,,,,,,,,,2004,A~100,,,,,,,,,,,,,,,
8,49,8Be,,j,,32436,,,,,,,,2,,,,,27494.3,,,,,,,,2,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,5,,,,,,,,,,,,,,,n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60,,,,,,,,,,,,,,,,,,,,
8,50,8B,,,,,,22921.6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.9,,,ms,0.9,,,,2+,,,,,,,,,,,,5,,,,,,,,,,1950,B+=100;B+A=100,,,,,,,,,,,,,,,,,
8,58,8B,,,i,,33546,,,,,,,,,,8,,,,,,,10624,,,,,,,,,,8,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,5,,,,,,,,,,1975,,,,,,,,,,,,,,,,
8,60,8C,,,,,,35064,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,zs,1.4,,,,0+,,,,,,,,,,,,18,,,,,,,,,,1974,2p=100,,,,,,,,,,,,
9,20,9He,,,,,40940,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,zs,2.3,,,,1/2(+),,,,,,,,6,,,,,,,,,,1987,n=100,,,,,,,,,,,,,,,,,
