AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
7,1,7H,,49140.0,1000.0,15000.0,6,1.0,2.0,3.0,3.6593057100229713,0.0,3.5714285714285716,1.0,0.0
4,1,4H,,24620.0,100.0,310.0,3,1.0,1.0,2.0,2.5198420997897464,0.0,1.0,1.0,1.0
5,1,5H,,32890.0,90.0,3100.0,4,1.0,2.0,3.0,2.924017738212866,0.0,1.8,1.0,0.0
6,1,6H,,41880.0,250.0,4100.0,5,1.0,3.0,4.0,3.3019272488946263,0.0,2.6666666666666665,1.0,1.0
7,2,7He,,26073.0,8.0,2920.0,5,0.0,3.0,3.0,3.6593057100229713,1.0455159171494206,1.2857142857142858,0.0,1.0
9,2,9He,,40940.0,50.0,1100.0,7,0.0,1.0,1.0,4.3267487109222245,0.9614997135382722,2.7777777777777777,0.0,1.0
10,2,10He,,49200.0,90.0,3240.0,8,0.0,0.0,0.0,4.641588833612778,0.9283177667225557,3.6,0.0,0.0
6,2,6He,,17592.1,0.05,1797.0,4,0.0,2.0,2.0,3.3019272488946263,1.100642416298209,0.6666666666666666,0.0,0.0
4,2,4He,,2424.91587,0.00015,20210.0,2,0.0,0.0,0.0,2.5198420997897464,1.2599210498948732,0.0,0.0,0.0
11,3,11Li,,40728.3,0.6,1266.0,8,1.0,0.0,1.0,4.9460874432487,2.6978658781356555,2.272727272727273,1.0,0.0
10,3,10Li,m,33250.0,40.0,210.0,7,1.0,1.0,2.0,4.641588833612778,2.7849533001676674,1.6,1.0,1.0
12,3,12Li,,49010.0,30.0,130.0,9,1.0,1.0,2.0,5.241482788417793,2.6207413942088964,3.0,1.0,1.0
9,3,9Li,,24954.91,0.19,2691.0,6,1.0,2.0,3.0,4.3267487109222245,2.8844991406148166,1.0,1.0,0.0
8,3,8Li,i,31768.0,5.0,980.8,5,1.0,3.0,4.0,3.9999999999999996,3.0,0.5,1.0,1.0
6,3,6Li,,14086.8804,0.0014,2186.0,3,1.0,1.0,2.0,3.3019272488946263,3.3019272488946267,0.0,1.0,1.0
4,3,4Li,,25320.0,210.0,320.0,1,1.0,1.0,2.0,2.5198420997897464,3.77976314968462,1.0,1.0,1.0
7,3,7Li,,14907.105,0.004,477.61199999999997,4,1.0,2.0,3.0,3.6593057100229713,3.1365477514482616,0.14285714285714285,1.0,0.0
7,4,7Be,i,26750.0,30.0,429.08,3,2.0,1.0,3.0,3.6593057100229713,6.273095502896523,0.14285714285714285,0.0,1.0
11,4,11Be,i,41336.0,20.0,320.04,7,2.0,1.0,3.0,4.9460874432487,5.395731756271311,0.8181818181818182,0.0,1.0
10,4,10Be,i,33787.0,21.0,3368.03,6,2.0,2.0,4.0,4.641588833612778,5.569906600335335,0.4,0.0,0.0
12,4,12Be,,25077.8,1.9,2109.0,8,2.0,0.0,2.0,5.241482788417793,5.241482788417793,1.3333333333333333,0.0,0.0
9,4,9Be,i,25738.8,1.7,1684.0,5,2.0,3.0,5.0,4.3267487109222245,5.768998281229633,0.1111111111111111,0.0,1.0
6,4,6Be,,18375.0,5.0,1670.0,2,2.0,0.0,2.0,3.3019272488946263,6.6038544977892535,0.6666666666666666,0.0,0.0
