index,Z,N,A,MthFL,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
13,8,21,29,63.89,0.0,1.0,1.0,9.43913067739236,18.22728682530939,5.827586206896552,0.0,1.0
14,8,22,30,70.76,0.0,2.0,2.0,9.654893846056297,18.022468512638422,6.533333333333333,0.0,0.0
15,8,23,31,81.5,0.0,3.0,3.0,9.868272403218972,17.826556599363307,7.258064516129032,0.0,1.0
16,8,24,32,89.61,0.0,4.0,4.0,10.079368399158984,17.638894698528226,8.0,0.0,0.0
17,8,25,33,103.64,0.0,3.0,3.0,10.288276478101775,17.458893417384832,8.757575757575758,0.0,1.0
18,8,26,34,112.72,0.0,2.0,2.0,10.49508462297634,17.286021731961032,9.529411764705882,0.0,0.0
19,8,27,35,122.67,0.0,1.0,1.0,10.699874805650794,17.119799689041272,10.314285714285715,0.0,1.0
20,8,28,36,131.49,0.0,0.0,0.0,10.902723556992836,16.95979219976664,11.11111111111111,0.0,0.0
21,8,29,37,146.28,0.0,1.0,1.0,11.103702468586784,16.805603736239462,11.91891891891892,0.0,1.0
22,8,30,38,156.84,0.0,2.0,2.0,11.302878635921052,16.65687377925208,12.736842105263158,0.0,0.0
23,8,31,39,169.71,0.0,3.0,3.0,11.500315051230226,16.513272894074174,13.564102564102564,0.0,1.0
24,8,32,40,178.38,0.0,4.0,4.0,11.696070952851462,16.374499333992052,14.4,0.0,0.0
25,8,33,41,191.48,0.0,5.0,5.0,11.890202136872691,16.24027608938709,15.24390243902439,0.0,1.0
26,8,34,42,204.34,0.0,6.0,6.0,12.082761235960547,16.110348314614065,16.095238095238095,0.0,0.0
42,9,23,32,64.72,1.0,3.0,4.0,10.079368399158984,22.67857889810772,6.125,1.0,1.0
43,9,24,33,72.31,1.0,4.0,5.0,10.288276478101775,22.447148679494784,6.818181818181818,1.0,0.0
44,9,25,34,83.42,1.0,3.0,4.0,10.49508462297634,22.2248850839499,7.529411764705882,1.0,1.0
45,9,26,35,92.52,1.0,2.0,3.0,10.699874805650794,22.01117102876735,8.257142857142858,1.0,0.0
46,9,27,36,103.11,1.0,1.0,2.0,10.902723556992836,21.80544711398568,9.0,1.0,1.0
47,9,28,37,109.79,1.0,0.0,1.0,11.103702468586784,21.607204803736447,9.756756756756756,1.0,0.0
48,9,29,38,122.8,1.0,1.0,2.0,11.302878635921052,21.415980573324106,10.526315789473685,1.0,1.0
49,9,30,39,133.69,1.0,2.0,3.0,11.500315051230226,21.231350863809652,11.307692307692308,1.0,0.0
50,9,31,40,143.98,1.0,3.0,4.0,11.696070952851462,21.052927715132636,12.1,1.0,1.0
51,9,32,41,154.19,1.0,4.0,5.0,11.890202136872691,20.88035497206912,12.902439024390244,1.0,0.0
52,9,33,42,167.49,1.0,5.0,6.0,12.082761235960547,20.71330497593237,13.714285714285714,1.0,1.0
53,9,34,43,178.8,1.0,6.0,7.0,12.273797969521459,20.5514756698964,14.534883720930232,1.0,0.0
54,9,35,44,190.67,1.0,7.0,8.0,12.463359368739502,20.39458805793737,15.363636363636363,1.0,1.0
55,9,36,45,199.98,1.0,8.0,9.0,12.651489979526238,20.242383967241985,16.2,1.0,0.0
56,9,37,46,213.65,1.0,9.0,10.0,12.838232045991905,20.094624071987333,17.043478260869566,1.0,1.0
74,10,25,35,61.23,2.0,3.0,5.0,10.699874805650794,27.513963785959188,6.428571428571429,0.0,1.0
75,10,26,36,68.77,2.0,2.0,4.0,10.902723556992836,27.2568088924821,7.111111111111111,0.0,0.0
76,10,27,37,78.3,2.0,1.0,3.0,11.103702468586784,27.00900600467056,7.8108108108108105,0.0,1.0
77,10,28,38,85.12,2.0,0.0,2.0,11.302878635921052,26.769975716655132,8.526315789473685,0.0,0.0
78,10,29,39,98.65,2.0,1.0,3.0,11.500315051230226,26.539188579762065,9.256410256410257,0.0,1.0
79,10,30,40,107.09,2.0,2.0,4.0,11.696070952851462,26.316159643915796,10.0,0.0,0.0
80,10,31,41,118.47,2.0,3.0,5.0,11.890202136872691,26.1004437150864,10.75609756097561,0.0,1.0
81,10,32,42,127.62,2.0,4.0,6.0,12.082761235960547,25.891631219915464,11.523809523809524,0.0,0.0
82,10,33,43,139.35,2.0,5.0,7.0,12.273797969521459,25.689344587370503,12.30232558139535,0.0,1.0
83,10,34,44,150.76,2.0,6.0,8.0,12.463359368739502,25.493235072421715,13.090909090909092,0.0,0.0
84,10,35,45,159.92,2.0,7.0,9.0,12.651489979526238,25.30297995905248,13.88888888888889,0.0,1.0
85,10,36,46,170.53,2.0,8.0,10.0,12.838232045991905,25.118280089984168,14.695652173913043,0.0,0.0
86,10,37,47,185.19,2.0,9.0,11.0,13.023625676689214,24.938857678766585,15.51063829787234,0.0,1.0
87,10,38,48,195.8,2.0,10.0,12.0,13.207708995578505,24.764454366709703,16.333333333333332,0.0,0.0
88,10,39,49,208.79,2.0,11.0,13.0,13.390518279406722,24.594829492787863,17.163265306122447,0.0,1.0
89,10,40,50,219.96,2.0,10.0,12.0,13.572088082974531,24.429758549354162,18.0,0.0,0.0
90,10,41,51,232.78,2.0,9.0,11.0,13.752451353579682,24.26903180043474,18.84313725490196,0.0,1.0
112,11,29,40,78.76,3.0,1.0,4.0,11.696070952851462,32.16419512034153,8.1,1.0,1.0
113,11,30,41,87.68,3.0,2.0,5.0,11.890202136872691,31.900542318438934,8.804878048780488,1.0,0.0
114,11,31,42,98.46,3.0,3.0,6.0,12.082761235960547,31.645327046563345,9.523809523809524,1.0,1.0
115,11,32,43,107.62,3.0,4.0,7.0,12.273797969521459,31.398087829008393,10.255813953488373,1.0,0.0
116,11,33,44,118.93,3.0,5.0,8.0,12.463359368739502,31.158398421848762,11.0,1.0,1.0
117,11,34,45,128.85,3.0,6.0,9.0,12.651489979526238,30.925864394397475,11.755555555555556,1.0,0.0
