Z,N,A,MthFL,FirstExc,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
8,8,16,-5.15,6049.4,0.0,0.0,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
8,9,17,-1.49,870.7560000000001,0.0,1.0,1.0,6.611489018457944,21.779022649037937,0.058823529411764705,0.0,1.0
8,10,18,-2.81,1982.07,0.0,2.0,2.0,6.868285455319991,21.367999194328863,0.2222222222222222,0.0,0.0
8,11,19,2.15,96.0,0.0,3.0,3.0,7.1203673589019925,20.986345899921666,0.47368421052631576,0.0,1.0
8,12,20,2.19,1673.68,0.0,4.0,4.0,7.368062997280773,20.630576392386168,0.8,0.0,0.0
8,13,21,8.09,1220.0,0.0,5.0,5.0,7.611662611020244,20.297766962720655,1.1904761904761905,0.0,1.0
8,14,22,9.92,3199.0,0.0,6.0,6.0,7.851424410539689,19.98544395410103,1.6363636363636365,0.0,0.0
8,15,23,17.22,2780.0,0.0,5.0,5.0,8.087579399090064,19.691497667349722,2.130434782608696,0.0,1.0
8,16,24,21.48,4790.0,0.0,4.0,4.0,8.320335292207616,19.414115681817773,2.6666666666666665,0.0,0.0
8,18,26,36.19,1277.0,0.0,2.0,2.0,8.776382955329126,18.902978673016584,3.8461538461538463,0.0,0.0
9,8,17,0.95,495.33,1.0,0.0,1.0,6.611489018457944,28.001600548763065,0.058823529411764705,1.0,0.0
9,9,18,1.51,937.2,1.0,1.0,2.0,6.868285455319991,27.473141821279967,0.0,1.0,1.0
9,10,19,-2.19,109.89399999999999,1.0,2.0,3.0,7.1203673589019925,26.982444728470714,0.05263157894736842,1.0,0.0
9,11,20,0.2,656.02,1.0,3.0,4.0,7.368062997280773,26.525026790210784,0.2,1.0,1.0
9,12,21,-0.49,279.93,1.0,4.0,5.0,7.611662611020244,26.097128952069415,0.42857142857142855,1.0,0.0
9,13,22,2.93,71.65,1.0,5.0,6.0,7.851424410539689,25.695570798129896,0.7272727272727273,1.0,1.0
9,14,23,3.9,2246.0,1.0,6.0,7.0,8.087579399090064,25.31763985802107,1.0869565217391304,1.0,0.0
9,15,24,9.07,521.5,1.0,5.0,6.0,8.320335292207616,24.96100587662285,1.5,1.0,1.0
9,16,25,12.89,3300.0,1.0,4.0,5.0,8.549879733383484,24.623653632144435,1.96,1.0,0.0
9,17,26,20.01,643.4,1.0,3.0,4.0,8.776382955329126,24.303829722449894,2.4615384615384617,1.0,1.0
9,18,27,25.24,777.0,1.0,2.0,3.0,8.999999999999998,24.0,3.0,1.0,0.0
9,19,28,33.06,590.0,1.0,1.0,2.0,9.220872584116892,23.710815216300585,3.5714285714285716,1.0,1.0
10,8,18,3.1,1887.3,2.0,0.0,2.0,6.868285455319991,34.34142727659996,0.2222222222222222,0.0,0.0
10,9,19,0.87,238.27,2.0,1.0,3.0,7.1203673589019925,33.72805591058839,0.05263157894736842,0.0,1.0
10,10,20,-7.21,1633.674,2.0,2.0,4.0,7.368062997280773,33.15628348776348,0.0,0.0,0.0
10,11,21,-5.29,350.727,2.0,3.0,5.0,7.611662611020244,32.62141119008677,0.047619047619047616,0.0,1.0
10,12,22,-8.23,1274.537,2.0,4.0,6.0,7.851424410539689,32.11946349766237,0.18181818181818182,0.0,0.0
10,13,23,-4.87,1016.926,2.0,5.0,7.0,8.087579399090064,31.647049822526338,0.391304347826087,0.0,1.0
10,14,24,-6.72,1981.6,2.0,6.0,8.0,8.320335292207616,31.201257345778565,0.6666666666666666,0.0,0.0
10,15,25,-1.66,1702.8,2.0,5.0,7.0,8.549879733383484,30.779567040180545,1.0,0.0,1.0
10,16,26,-0.22,2018.0,2.0,4.0,6.0,8.776382955329126,30.379787153062367,1.3846153846153846,0.0,0.0
10,17,27,6.72,765.0,2.0,3.0,5.0,8.999999999999998,30.0,1.8148148148148149,0.0,1.0
10,19,29,17.53,232.0,2.0,1.0,3.0,9.43913067739236,29.293853826390087,2.793103448275862,0.0,1.0
10,20,30,21.87,792.0,2.0,0.0,2.0,9.654893846056297,28.964681538168897,3.3333333333333335,0.0,0.0
10,22,32,35.19,722.0,2.0,2.0,4.0,10.079368399158984,28.34822362263465,4.5,0.0,0.0
11,8,19,11.47,120.0,3.0,0.0,3.0,7.1203673589019925,41.2231794462747,0.47368421052631576,1.0,0.0
11,9,20,6.62,596.0,3.0,1.0,4.0,7.368062997280773,40.524346485044255,0.2,1.0,1.0
11,10,21,-2.06,331.9,3.0,2.0,5.0,7.611662611020244,39.87061367677272,0.047619047619047616,1.0,0.0
11,11,22,-3.97,583.05,3.0,3.0,6.0,7.851424410539689,39.257122052698456,0.0,1.0,1.0
11,12,23,-8.82,440.2,3.0,4.0,7.0,8.087579399090064,38.67972756086552,0.043478260869565216,1.0,0.0
11,13,24,-7.31,472.2074,3.0,5.0,8.0,8.320335292207616,38.13487008928491,0.16666666666666666,1.0,1.0
11,14,25,-8.76,89.53,3.0,6.0,9.0,8.549879733383484,37.61947082688734,0.36,1.0,0.0
11,15,26,-5.84,82.2,3.0,5.0,8.0,8.776382955329126,37.130850964854005,0.6153846153846154,1.0,1.0
11,16,27,-4.97,62.9,3.0,4.0,7.0,8.999999999999998,36.666666666666664,0.9259259259259259,1.0,0.0
